red1,red2,red3,blue1,blue2,blue3,redScore,blueScore
frc166,frc1153,frc1027,frc3623,frc181,frc6723,40,67
frc3555,frc8013,frc2262,frc7760,frc3182,frc2067,96,82
frc2590,frc181,frc2064,frc7153,frc78,frc316,65,93
frc5112,frc1027,frc6811,frc1350,frc6723,frc5746,53,67
frc1100,frc157,frc7760,frc6328,frc1153,frc4987,48,133
frc7153,frc3182,frc2064,frc61,frc1740,frc3623,46,72
frc3719,frc173,frc1735,frc2877,frc1027,frc316,65,27
frc78,frc5347,frc190,frc157,frc6328,frc6723,52,185
frc6811,frc2262,frc348,frc5112,frc166,frc1100,22,126
frc3555,frc2170,frc2067,frc2370,frc1991,frc181,87,106
frc1153,frc2590,frc1350,frc5746,frc8013,frc5491,131,51
frc2877,frc2370,frc2064,frc2067,frc5491,frc1350,97,66
frc316,frc1740,frc7760,frc190,frc2877,frc5112,76,83
frc1027,frc78,frc3182,frc5347,frc1100,frc348,60,56
frc6328,frc2590,frc2067,frc2170,frc1350,frc173,136,82
frc8013,frc3623,frc2370,frc2262,frc157,frc1991,56,77
frc3719,frc181,frc5746,frc4987,frc61,frc3555,67,105
frc6723,frc166,frc1735,frc2064,frc6811,frc1153,105,64
frc7153,frc2262,frc2590,frc5491,frc2877,frc348,112,77
frc4987,frc3719,frc78,frc8013,frc1740,frc1350,95,117
frc1027,frc6328,frc181,frc6811,frc3182,frc1991,142,12
frc157,frc166,frc5491,frc7760,frc61,frc173,98,79
frc2262,frc173,frc5746,frc7760,frc3555,frc5347,66,35
frc6723,frc2370,frc190,frc5746,frc1735,frc7153,156,67
frc1153,frc5112,frc5347,frc1100,frc2064,frc3555,142,57
frc2170,frc3623,frc7760,frc2067,frc316,frc157,90,103
frc181,frc61,frc1350,frc6328,frc2262,frc1735,108,109
frc5347,frc2590,frc2370,frc1100,frc4987,frc1027,99,69
frc2064,frc2170,frc1740,frc3555,frc348,frc173,102,59
frc3182,frc5112,frc6723,frc2877,frc3623,frc3719,76,55
frc5491,frc6811,frc7153,frc190,frc2067,frc8013,34,122
frc316,frc1991,frc1153,frc166,frc5746,frc78,135,132
frc3182,frc173,frc157,frc6723,frc348,frc7760,35,69
frc1100,frc3719,frc1740,frc157,frc7153,frc2170,59,68
frc190,frc6811,frc3555,frc1027,frc61,frc2590,90,119
frc5746,frc316,frc3623,frc1350,frc1100,frc2370,111,77
frc1991,frc1735,frc2067,frc1740,frc1153,frc2262,80,76
frc4987,frc8013,frc2877,frc166,frc5347,frc2064,56,70
frc5112,frc7153,frc6328,frc5491,frc3719,frc2170,107,109
frc2590,frc78,frc1100,frc181,frc7760,frc1735,66,82
frc1991,frc6723,frc1740,frc173,frc6811,frc316,157,68
frc1027,frc7153,frc3555,frc8013,frc166,frc6328,53,112
frc190,frc5746,frc4987,frc78,frc2064,frc2262,82,110
frc348,frc1350,frc3719,frc61,frc1153,frc2170,34,153
frc1735,frc348,frc5112,frc2590,frc1991,frc4987,50,79
frc2370,frc5112,frc5491,frc181,frc5347,frc3182,130,121
frc2067,frc2877,frc1100,frc3623,frc157,frc3555,96,66
frc5746,frc2064,frc6328,frc2590,frc1740,frc166,97,133
frc1153,frc190,frc173,frc2370,frc4987,frc3182,114,129
frc1991,frc7760,frc2877,frc7153,frc3719,frc5347,117,41
frc3623,frc1350,frc6811,frc181,frc157,frc348,10,97
frc1735,frc2170,frc316,frc2262,frc5491,frc1027,168,89
frc6723,frc2067,frc61,frc78,frc8013,frc5112,138,80
frc2877,frc3555,frc181,frc1350,frc190,frc1991,105,60
frc2064,frc5491,frc7760,frc6811,frc2370,frc3719,35,55
frc8013,frc316,frc61,frc6328,frc3182,frc190,103,55
frc5347,frc6723,frc8013,frc348,frc316,frc2590,66,119
frc173,frc6328,frc78,frc5112,frc3623,frc2262,146,71
frc61,frc7153,frc166,frc1153,frc1100,frc3182,130,129
frc157,frc4987,frc1740,frc2067,frc1027,frc5746,133,106
frc2170,frc5347,frc6328,frc1735,frc190,frc3623,102,78
frc5491,frc1100,frc1991,frc78,frc3555,frc6723,59,160
frc2262,frc1350,frc316,frc4987,frc7760,frc7153,65,51
frc61,frc2370,frc157,frc1740,frc5112,frc181,129,108
frc348,frc2067,frc166,frc3182,frc2590,frc3719,130,36
frc1153,frc5746,frc2877,frc6811,frc2170,frc8013,163,102
frc2170,frc78,frc2370,frc166,frc2877,frc6811,115,61
frc1735,frc1027,frc157,frc173,frc2064,frc5112,88,95
frc1350,frc3555,frc166,frc316,frc5491,frc190,71,120
frc5347,frc5746,frc6811,frc1740,frc2067,frc7153,46,110
frc3182,frc2262,frc2170,frc2064,frc6723,frc4987,138,143
frc3623,frc1991,frc78,frc3719,frc7760,frc1027,115,45
frc173,frc181,frc1100,frc2590,frc1735,frc8013,40,88
frc61,frc6328,frc2877,frc2370,frc348,frc1153,150,131
frc348,frc4987,frc3623,frc1740,frc1735,frc5491,25,91
frc3719,frc190,frc61,frc1991,frc173,frc5347,52,72